version,name,fid,n,n_null,nan_pct
27.5.6,max_brightness_after_band,1,4473306,781013,17.45941368643236
27.5.6,max_brightness_after_band,2,4473306,783701,17.519503472375913
27.5.6,max_brightness_before_band,1,4473306,3811657,85.20894837062343
27.5.6,max_brightness_before_band,2,4473306,3773144,84.34799676123207
27.5.6,MaxSlope,1,4472098,2966118,66.32497767267175
27.5.6,MaxSlope,2,4472098,2949990,65.96434156854345
27.5.6,Mean,1,4472098,2966118,66.32497767267175
27.5.6,Mean,2,4472098,2949990,65.96434156854345
27.5.6,mean_chinr,12,4473306,219370,4.90397929406126
27.5.6,mean_distnr,12,4473306,216992,4.850819505752568
27.5.6,mean_sharpnr,12,4473306,219370,4.90397929406126
27.5.6,Meanvariance,1,4472098,2966118,66.32497767267175
27.5.6,Meanvariance,2,4472098,2949990,65.96434156854345
27.5.6,MedianAbsDev,1,4472098,2966118,66.32497767267175
27.5.6,MedianAbsDev,2,4472098,2949990,65.96434156854345
27.5.6,median_brightness_after_band,1,4473306,781013,17.45941368643236
27.5.6,median_brightness_after_band,2,4473306,783701,17.519503472375913
27.5.6,median_brightness_before_band,1,4473306,3811657,85.20894837062343
27.5.6,median_brightness_before_band,2,4473306,3773144,84.34799676123207
27.5.6,MedianBRP,1,4472098,2966118,66.32497767267175
27.5.6,MedianBRP,2,4472098,2949990,65.96434156854345
27.5.6,MHPS_high,1,4472098,3290297,73.57390200304198
27.5.6,MHPS_high,2,4472098,3258139,72.8548211600014
27.5.6,MHPS_high_30,1,4473306,3290786,73.56496515105383
27.5.6,MHPS_high_30,2,4473306,3258794,72.8497893951364
27.5.6,MHPS_low,1,4472098,3290297,73.57390200304198
27.5.6,MHPS_low,2,4472098,3258139,72.8548211600014
27.5.6,MHPS_low_365,1,4473306,3290786,73.56496515105383
27.5.6,MHPS_low_365,2,4473306,3258794,72.8497893951364
27.5.6,MHPS_non_zero,1,4472098,3290297,73.57390200304198
27.5.6,MHPS_non_zero,2,4472098,3258139,72.8548211600014
27.5.6,MHPS_PN_flag,1,4472098,3290297,73.57390200304198
27.5.6,MHPS_PN_flag,2,4472098,3258139,72.8548211600014
27.5.6,MHPS_ratio,1,4472098,3290297,73.57390200304198
27.5.6,MHPS_ratio,2,4472098,3258139,72.8548211600014
27.5.6,MHPS_ratio_365_30,1,4473306,3290786,73.56496515105383
27.5.6,MHPS_ratio_365_30,2,4473306,3258794,72.8497893951364
27.5.6,Multiband_period,12,4472098,2036913,45.5471458809713
27.5.6,n_forced_phot_band_after,1,4473306,380354,8.502749420674553
27.5.6,n_forced_phot_band_after,2,4473306,366450,8.191927849335592
27.5.6,n_forced_phot_band_before,1,4473306,380354,8.502749420674553
27.5.6,n_forced_phot_band_before,2,4473306,366450,8.191927849335592
27.5.6,PairSlopeTrend,1,4472098,2966118,66.32497767267175
27.5.6,PairSlopeTrend,2,4472098,2949990,65.96434156854345
27.5.6,PercentAmplitude,1,4472098,2966118,66.32497767267175
27.5.6,PercentAmplitude,2,4472098,2949990,65.96434156854345
27.5.6,Period_band,1,4472098,2272661,50.818676156023415
27.5.6,Period_band,2,4472098,2345472,52.44679342894543
27.5.6,positive_fraction,1,4472098,804021,17.97860869775215
27.5.6,positive_fraction,2,4472098,878134,19.63583982283036
27.5.6,Power_rate_1/2,12,4472098,2036913,45.5471458809713
27.5.6,Power_rate_1/3,12,4472098,2036913,45.5471458809713
27.5.6,Power_rate_1/4,12,4472098,2036913,45.5471458809713
27.5.6,Power_rate_2,12,4472098,2036913,45.5471458809713
27.5.6,Power_rate_3,12,4472098,2036913,45.5471458809713
27.5.6,Power_rate_4,12,4472098,2036913,45.5471458809713
27.5.6,PPE,12,4472098,2036913,45.5471458809713
27.5.6,ps_g-r,0,4473306,1469453,32.8493735952783
27.5.6,Psi_CS,1,4472098,2695430,60.27215861548651
27.5.6,Psi_CS,2,4472098,2744924,61.37888749307372
27.5.6,Psi_eta,1,4472098,2695430,60.27215861548651
27.5.6,Psi_eta,2,4472098,2744924,61.37888749307372
27.5.6,ps_i-z,0,4473306,1340078,29.957217324278734
27.5.6,ps_r-i,0,4473306,1361580,30.437890902164977
27.5.6,Pvar,1,4472098,2966118,66.32497767267175
27.5.6,Pvar,2,4472098,2949990,65.96434156854345
27.5.6,Q31,1,4472098,2966118,66.32497767267175
27.5.6,Q31,2,4472098,2949990,65.96434156854345
27.5.6,Rcs,1,4472098,2966118,66.32497767267175
27.5.6,Rcs,2,4472098,2949990,65.96434156854345
27.5.6,r-W1,0,4473306,1516573,33.90273323577685
27.5.6,r-W2,0,4472098,1516309,33.90598774892679
27.5.6,r-W3,0,4472098,1519787,33.98375885322728
27.5.6,r-W4,0,4473306,1518467,33.94507328584273
27.5.6,SF_ML_amplitude,1,4472098,2966118,66.32497767267175
27.5.6,SF_ML_amplitude,2,4472098,2949990,65.96434156854345
27.5.6,SF_ML_gamma,1,4472098,2966118,66.32497767267175
27.5.6,SF_ML_gamma,2,4472098,2949990,65.96434156854345
27.5.6,sgscore1,0,4472098,1229452,27.491615791961625
27.5.6,sigma_distnr,12,4473306,226682,5.0674378189196085
27.5.6,Skew,1,4472098,2966118,66.32497767267175
27.5.6,Skew,2,4472098,2949990,65.96434156854345
27.5.6,SmallKurtosis,1,4472098,2966118,66.32497767267175
27.5.6,SmallKurtosis,2,4472098,2949990,65.96434156854345
27.5.6,SPM_A,1,4472098,158179,3.537019984803553
27.5.6,SPM_A,2,4472098,192826,4.311757032158061
27.5.6,SPM_beta,1,4472098,158179,3.537019984803553
27.5.6,SPM_beta,2,4472098,192826,4.311757032158061
27.5.6,SPM_chi,1,4472098,793801,17.750080610934734
27.5.6,SPM_chi,2,4472098,840173,18.786998853781828
27.5.6,SPM_gamma,1,4472098,158179,3.537019984803553
27.5.6,SPM_gamma,2,4472098,192826,4.311757032158061
27.5.6,SPM_t0,1,4472098,158179,3.537019984803553
27.5.6,SPM_t0,2,4472098,192826,4.311757032158061
27.5.6,SPM_tau_fall,1,4472098,158179,3.537019984803553
27.5.6,SPM_tau_fall,2,4472098,192826,4.311757032158061
27.5.6,SPM_tau_rise,1,4472098,158179,3.537019984803553
27.5.6,SPM_tau_rise,2,4472098,192826,4.311757032158061
27.5.6,Std,1,4472098,2966118,66.32497767267175
27.5.6,Std,2,4472098,2949990,65.96434156854345
27.5.6,StetsonK,1,4472098,2966118,66.32497767267175
27.5.6,StetsonK,2,4472098,2949990,65.96434156854345
27.5.6,TDE_decay,1,4473306,349582,7.814846558674948
27.5.6,TDE_decay,2,4473306,323818,7.2388966907249355
27.5.6,TDE_decay_chi,1,4473306,2866886,64.08875225616133
27.5.6,TDE_decay_chi,2,4473306,2790867,62.38936035227637
27.5.6,TDE_mag0,1,4473306,349582,7.814846558674948
27.5.6,TDE_mag0,2,4473306,323818,7.2388966907249355
