version,name,fid,n,n_null,nan_pct
27.5.6,Harmonics_mag_4,2,2164,1105,51.06284658040666
27.5.7a32.dev1,max_brightness_after_band,1,2480,357,14.39516129032258
27.5.7a32.dev1,SF_ML_amplitude,1,2523,1712,67.85572730875941
27.5.6,n_forced_phot_band_after,2,2138,166,7.764265668849392
27.5.6,n_forced_phot_band_before,2,2192,182,8.302919708029197
27.5.7a32.dev1,fleet_chi,2,2524,1133,44.88906497622821
27.5.6,MHPS_high,1,2218,1608,72.49774571686204
27.5.6,ulens_chi,2,2221,508,22.872579918955424
27.5.7a32.dev1,TDE_mag0,2,2451,152,6.2015503875969
27.5.7a32.dev1,n_forced_phot_band_after,1,2479,215,8.672851956434046
27.5.6,Multiband_period,12,2173,993,45.69719282098481
27.5.6,mean_distnr,12,2210,118,5.339366515837104
27.5.7a32.dev1,Beyond1Std,1,2513,1694,67.40947075208913
27.5.6,g-W4,0,2172,674,31.031307550644566
27.5.6,n_forced_phot_band_before,1,2277,208,9.134826526130874
27.5.7a32.dev1,Power_rate_1/3,12,2525,937,37.10891089108911
27.5.7a32.dev1,g-r_mean,12,2506,902,35.99361532322426
27.5.7a32.dev1,Q31,1,2512,1681,66.9187898089172
27.5.6,Harmonics_phase_3,2,2192,1119,51.0492700729927
27.5.7a32.dev1,ulens_tE,1,2469,435,17.61846901579587
27.5.7a32.dev1,W1-W2,0,2483,2483,100.0
27.5.7a32.dev1,max_brightness_before_band,1,2500,2146,85.84
27.5.7a32.dev1,Harmonics_mag_2,2,2484,1098,44.20289855072464
27.5.7a32.dev1,Harmonics_chi,2,2477,1136,45.86192975373436
27.5.6,ps_g-r,0,2144,708,33.02238805970149
27.5.6,TDE_decay,2,2340,163,6.965811965811966
27.5.7a32.dev1,Harmonics_phase_3,2,2502,1112,44.44444444444444
27.5.7a32.dev1,W3-W4,0,2462,2462,100.0
27.5.6,SmallKurtosis,1,2204,1460,66.2431941923775
27.5.6,g-W2,0,2191,688,31.401186672752168
27.5.7a32.dev1,Power_rate_4,12,2498,928,37.14971977582066
27.5.6,Power_rate_1/2,12,2145,983,45.827505827505824
27.5.6,Harmonics_phase_7,2,2174,1100,50.59797608095676
27.5.6,g-W1,0,2179,694,31.849472234970168
27.5.7a32.dev1,ulens_mag0,1,2459,429,17.44611630744205
27.5.6,SPM_chi,2,2329,447,19.19278660369257
27.5.6,W1-W2,0,2169,456,21.023513139695712
27.5.6,MedianBRP,1,2226,1454,65.31895777178796
27.5.7a32.dev1,ps_i-z,0,2424,813,33.539603960396036
27.5.6,ulens_tE,1,2166,487,22.483841181902125
27.5.7a32.dev1,PercentAmplitude,1,2511,1682,66.9852648347272
27.5.6,g-r_mean_corr,12,2194,819,37.32907930720146
27.5.7a32.dev1,Pvar,2,2550,1678,65.80392156862744
27.5.6,Amplitude,2,2189,1453,66.3773412517131
27.5.7a32.dev1,TDE_decay,2,2459,150,6.10004066693778
