oid,candid,mjd,fid,pid,diffmaglim,isdiffpos,nid,ra,dec,magpsf,sigmapsf,magap,sigmagap,distnr,rb,rbversion,drb,drbversion,magapbig,sigmagapbig,rfid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,corrected,dubious,parent_candid,has_stamp,step_id_corr
ZTF17aaadosl,863461891715015001,58617.4618981001,1,863461891715,20.712957,1,863,311.6273552,4.3494238,17.702532,0.1741842,18.0165,0.0466,0.31719193,0.14285715,t15_f5_c3,0.0,,18.0296,0.0539,491120117,15.649375,0.015505928,0.026287312,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,880448341715010014,58634.44834489981,1,880448341715,20.887653,-1,880,311.6274167,4.349435,17.473475,0.13077123,17.314,0.022,0.24168025,0.51714283,t17_f5_c3,0.0,,17.2822,0.0245,491120117,16.09605,0.018066565,0.03677414,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,886444441715015005,58640.44444439979,1,886444441715,20.729174,1,886,311.6273822,4.3493688,17.593851,0.11117648,17.831,0.0385,0.4799814,0.7242857,t17_f5_c3,0.0,,17.8647,0.0452,491120117,15.63226,100.0,0.01825478,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,886461451715015001,58640.461458299775,2,886461451715,20.427017,1,886,311.6274006,4.3494477,17.440735,0.06401056,17.3915,0.0298,0.11919578,0.9128571,t17_f5_c3,0.0,,17.3702,0.0338,491120217,15.408596,100.0,0.009849091,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,890460981715010004,58644.46098379977,2,890460981715,20.576822,-1,890,311.6273906,4.349551,17.522356,0.08753309,17.5557,0.0324,0.24171135,0.87285715,t17_f5_c3,0.0,,17.5413,0.0376,491120217,15.790575,100.0,0.017760696,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,893314661715015000,58647.31466440018,2,893314661715,19.943686,1,893,311.6273507,4.3494403,17.550785,0.08061505,17.5686,0.0525,0.20614226,0.92285717,t17_f5_c3,0.0,,17.5698,0.0646,491120217,15.42482,100.0,0.011377062,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,893376561715015000,58647.37656249991,1,893376561715,19.9134,1,893,311.627412,4.3493718,18.2838,0.236611,18.8512,0.1564,0.455796,0.381429,t17_f5_c3,,,19.1699,0.2596,491120217,15.719519,100.0,0.022300903,True,False,911420471715010002,False,corr_bulk_0.0.1
ZTF17aaadosl,896353471715010001,58650.35347220022,2,896353471715,19.611128,-1,896,311.6273449,4.349495,17.097372,0.060240187,17.0701,0.0422,0.1836604,0.91714287,t17_f5_c3,0.0,,17.0616,0.0528,491120217,15.901607,100.0,0.02002534,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,899438841715010005,58653.43884260021,2,899438841715,19.421457,-1,899,311.6274105,4.3495032,17.199808,0.0738929,17.2164,0.0567,0.09789465,0.8957143,t17_f5_c3,0.99768496,d6_m7,17.1505,0.0677,491120217,15.869588,100.0,0.021702737,True,False,0,True,corr_bulk_0.0.1
ZTF17aaadosl,907336151715010004,58661.33615740016,2,907336151715,20.506338,-1,907,311.6273931,4.3494519,17.184734,0.08167644,17.2098,0.0238,0.11150423,0.84,t17_f5_c3,0.9999603,d6_m7,17.1916,0.0276,491120217,15.874055,100.0,0.024424462,True,False,0,True,corr_bulk_0.0.1
