aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","2649211251915015016",true,-4.2013802,false,"",0.06563233,100,0.019284373,"",2,true,1,18.433064,17.103283,60403.21125000017,"ZTF24aaecooj","",2649211251915,146.0198659,"ztf","ztf",20.315783,0.17851073,1,"d6_m7",18.434,18.413,2649,0.94857144,"t17_f5_c3",416120219,0.0805,0.0967,"23.12.x"
"","2649291331915015009",true,-4.2013254,false,"",0.07435852,100,0.032321796,"",1,true,1,18.596334,17.691746,60403.29133100016,"ZTF24aaecooj","",2649291331915,146.0198736,"ztf","ztf",20.10161,0.20236877,0.99993265,"d6_m7",18.4884,18.503,2649,0.9671429,"t17_f5_c3",416120119,0.082,0.1035,"23.12.x"
"","2653207871915015006",true,-4.2013668,false,"",0.07293518,100,0.031450137,"",1,true,1,18.611673,17.698387,60407.207870400045,"ZTF24aaecooj","",2653207871915,146.0198392,"ztf","ztf",20.391869,0.14637335,0.9999995,"d6_m7",18.6552,18.6182,2653,0.96428573,"t17_f5_c3",416120119,0.086,0.1031,"23.12.x"
"","2659236751915015021",true,-4.2013287,false,"",0.08532182,100,0.032755412,"",1,true,1,18.824564,17.785122,60413.23675929988,"ZTF24aaecooj","",2659236751915,146.0198751,"ztf","ztf",20.187187,0.19547135,0.99994916,"d6_m7",18.809,18.7854,2659,0.9714286,"t17_f5_c3",416120119,0.0979,0.1189,"24.4.1"
"","2663255691915015006",true,-4.2013096,false,"",0.12017126,100,0.03046228,"",2,true,1,18.653685,17.16359,60417.25569440005,"ZTF24aaecooj","",2663255691915,146.0199025,"ztf","ztf",19.510784,0.43215826,0.9999819,"d6_m7",18.4958,18.6028,2663,0.93714285,"t17_f5_c3",416120219,0.1458,0.2036,"24.4.1"
"","2665206271915015006",true,-4.2013174,false,"",0.12105017,0.016318923,0.0458606,"",1,true,1,18.847795,17.793982,60419.20627309987,"ZTF24aaecooj","",2665206271915,146.0198639,"ztf","ztf",19.471716,0.23766232,0.9999057,"d6_m7",18.8544,18.9536,2665,0.95857143,"t17_f5_c3",416120119,0.2168,0.303,"24.4.1"
"","2665223721915015016",true,-4.2013571,false,"",0.09590245,100,0.023197101,"",2,true,1,18.721333,17.180342,60419.22372689983,"ZTF24aaecooj","",2665223721915,146.0199035,"ztf","ztf",19.584454,0.33376023,0.99999607,"d6_m7",18.8137,18.7214,2665,0.9257143,"t17_f5_c3",416120219,0.2055,0.2396,"24.4.1"
"","2667223761915015027",true,-4.2013503,false,"",0.146032,100,0.03050236,"",2,false,1,18.9269,17.226614,60421.22376159998,"ZTF24aaecooj",2679192651915015000,2667223761915,146.0198857,"ztf","ztf",19.3516,0.285745,"","",19.7017,19.1317,2667,0.752857,"t17_f5_c3","",0.581,0.4386,"24.4.1"
"","2667261451915015027",true,-4.201275,false,"",0.2014881,0.057365533,0.0724186,"",1,true,1,18.938435,17.827436,60421.261458300054,"ZTF24aaecooj","",2667261451915,146.0198476,"ztf","ztf",18.888988,0.40362787,0.9998758,"d6_m7",18.7192,18.7289,2667,0.76,"t17_f5_c3",416120119,0.2986,0.386,"24.4.1"
"","2670278261915015039",true,-4.20131,false,"",0.226362,0.079776905,0.089961484,"",1,false,1,18.7629,17.761032,60424.27826389996,"ZTF24aaecooj",2679192651915015000,2670278261915,146.0198854,"ztf","ztf",18.6673,0.255764,"","",18.6903,18.302,2670,0.675714,"t17_f5_c3","",0.3581,0.3214,"24.4.1"
"","2676247121915025013",true,-4.2013702,false,"",0.10490784,100,0.02210315,"",2,true,1,18.915003,17.22412,60430.24712960003,"ZTF24aaecooj","",2676247121915,146.0198718,"ztf","ztf",20.102888,0.2104146,0.9999871,"d6_m7",18.7273,18.6977,2676,0.96428573,"t17_f5_c3",416120219,0.1251,0.1513,"24.4.1"
"","2679187801915015010",true,-4.2013227,false,"",0.09402768,100,0.0193634,"",2,true,1,18.94633,17.230644,60433.18780090008,"ZTF24aaecooj","",2679187801915,146.0199054,"ztf","ztf",20.293674,0.413395,0.9999995,"d6_m7",18.9797,18.9557,2679,0.9657143,"t17_f5_c3",416120219,0.1346,0.1616,"24.4.1"
"","2679192651915015012",true,-4.2013598,false,"",0.10811635,100,0.036919154,"",1,true,1,19.024029,17.85743,60433.19265050022,"ZTF24aaecooj","",2679192651915,146.0198563,"ztf","ztf",20.355433,0.10935268,0.9999962,"d6_m7",18.8236,18.7955,2679,0.9771429,"t17_f5_c3",416120119,0.1014,0.1224,"24.4.1"
