oid,flat_base,flat_abl,top_base,top_abl
ZTF18acdljqq,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acdllfd,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acdlzef,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acdmydr,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acdnupp,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acdosya,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acdpdcw,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18acdpltc,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acdpntu,EA,CV/Nova,Periodic,Stochastic
ZTF18acdqguu,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18acdqwap,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18acdsfvg,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18acdtivs,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acdtqvk,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18acdvicw,YSO,YSO,Periodic,Stochastic
ZTF18acdxhal,EA,EA,Periodic,Periodic
ZTF18acdyfwo,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18acdyvff,YSO,YSO,Stochastic,Stochastic
ZTF18aceaisr,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aceaixl,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aceajfs,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aceaoca,CV/Nova,CV/Nova,Periodic,Transient
ZTF18acebgir,YSO,YSO,Periodic,Stochastic
ZTF18acebgqr,LPV,CV/Nova,Periodic,Stochastic
ZTF18aceburk,RSCVn,CV/Nova,Periodic,Transient
ZTF18acecqbb,RSCVn,YSO,Periodic,Stochastic
ZTF18aceeorr,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aceeutv,QSO,CV/Nova,Stochastic,Stochastic
ZTF18acegcaw,RSCVn,CV/Nova,Periodic,Periodic
ZTF18acegexd,EB/EW,EB/EW,Periodic,Periodic
ZTF18acegpuq,EA,YSO,Periodic,Stochastic
ZTF18acegske,RSCVn,YSO,Periodic,Stochastic
ZTF18acehrbk,EA,CV/Nova,Periodic,Stochastic
ZTF18acehrds,RSCVn,YSO,Periodic,Stochastic
ZTF18aceivhf,RRLab,RRLab,Periodic,Periodic
