oid,flat_base,flat_abl,top_base,top_abl
ZTF17aaabmwr,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaadask,RRLc,RRLc,Periodic,Periodic
ZTF17aaadkgg,LPV,YSO,Periodic,Stochastic
ZTF17aaadyos,EA,CV/Nova,Periodic,Stochastic
ZTF17aaadzhc,LPV,LPV,Periodic,Stochastic
ZTF17aaaeavx,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaeczc,LPV,YSO,Periodic,Stochastic
ZTF17aaaeegv,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaehis,RRLc,RRLc,Periodic,Periodic
ZTF17aaaehwd,RRLab,RRLab,Periodic,Periodic
ZTF17aaaewou,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaafpce,EA,EA,Periodic,Periodic
ZTF17aaafujb,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aaafylj,YSO,YSO,Periodic,Periodic
ZTF17aaafyqt,LPV,YSO,Periodic,Stochastic
ZTF17aaahtfi,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaahxaf,DSCT,DSCT,Periodic,Periodic
ZTF17aaahxsk,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaaiams,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaailsc,LPV,LPV,Periodic,Periodic
ZTF17aaailsf,RRLab,RRLab,Periodic,Periodic
ZTF17aaaivoq,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF17aaajrue,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF17aaakdyp,RRLab,RRLab,Periodic,Periodic
ZTF17aaanppk,YSO,CV/Nova,Stochastic,Stochastic
ZTF17aaapnuj,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaarofx,EA,EA,Periodic,Periodic
ZTF17aaasfkg,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aaasnvt,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaasqkk,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaatant,RSCVn,YSO,Periodic,Periodic
ZTF17aaauiel,EB/EW,Periodic-Other,Periodic,Periodic
ZTF17aaaverl,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aaawghb,LPV,LPV,Periodic,Stochastic
ZTF17aaawgto,LPV,LPV,Periodic,Stochastic
ZTF17aaawrtr,EA,CV/Nova,Periodic,Stochastic
ZTF17aaawsmw,LPV,YSO,Periodic,Stochastic
ZTF17aaaxajd,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaayznk,RSCVn,CV/Nova,Periodic,Stochastic
ZTF17aaaznqn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaazoen,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabcizq,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabcupo,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabdeal,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aabgaws,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabgbup,YSO,YSO,Periodic,Stochastic
ZTF17aabgbyh,LPV,YSO,Periodic,Periodic
ZTF17aabhsht,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabjgau,RSCVn,RSCVn,Periodic,Periodic
ZTF17aabjiav,RSCVn,CV/Nova,Periodic,Transient
ZTF17aabjkbk,RSCVn,YSO,Stochastic,Stochastic
ZTF17aabkfiv,CEP,CEP,Periodic,Periodic
ZTF17aabnena,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabopnq,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabowcu,EA,EA,Periodic,Periodic
ZTF17aabqibu,RRLc,RRLc,Periodic,Periodic
ZTF17aabszwy,RRLab,RRLab,Periodic,Periodic
ZTF17aabtpqp,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabtuji,RRLc,RRLc,Periodic,Periodic
ZTF17aabundg,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aaburpp,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF17aabuuza,RRLab,RRLab,Periodic,Periodic
ZTF17aabuwwx,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabuyhx,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF17aabuyzi,RSCVn,YSO,Periodic,Stochastic
ZTF17aabvckd,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF17aabvwgr,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabwawf,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabwbob,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aabwglt,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF17aabwjtq,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabwjyq,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aabwlps,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabwokq,EB/EW,EB/EW,Periodic,Periodic
ZTF17aabxhxp,RRLab,RRLab,Periodic,Periodic
ZTF17aabxnxh,RRLab,RRLab,Periodic,Periodic
ZTF17aabxoha,RRLab,RRLab,Periodic,Periodic
ZTF17aaccwoi,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aaclcvc,EB/EW,EB/EW,Periodic,Periodic
ZTF17aacnfxv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aacojgm,RRLc,RRLc,Periodic,Periodic
ZTF17aacpbzc,EB/EW,EB/EW,Periodic,Periodic
ZTF17aacpvne,EB/EW,EB/EW,Periodic,Periodic
ZTF17aactcya,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aactrjs,Blazar,CV/Nova,Stochastic,Stochastic
ZTF17aacutdw,CV/Nova,CV/Nova,Periodic,Transient
ZTF17aacvwzq,EB/EW,EB/EW,Periodic,Periodic
ZTF17aacwalj,EA,EA,Periodic,Periodic
ZTF17aacwztx,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aacxpno,RSCVn,CV/Nova,Periodic,Periodic
ZTF17aacyjmv,LPV,YSO,Periodic,Stochastic
ZTF17aaczrqj,LPV,YSO,Periodic,Stochastic
ZTF17aadaavf,RSCVn,CV/Nova,Periodic,Stochastic
ZTF17aadbxfa,RRLab,RRLab,Periodic,Periodic
ZTF17aaddcui,EB/EW,EB/EW,Periodic,Periodic
ZTF17aaddgkx,RSCVn,YSO,Periodic,Stochastic
ZTF17aadgldy,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aadijsy,EA,EA,Periodic,Periodic
ZTF17aadimqz,Periodic-Other,EB/EW,Periodic,Periodic
ZTF17aaditba,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aadkbad,EA,EA,Periodic,Periodic
ZTF17aadluxo,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aadmtbb,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aadniuq,LPV,CV/Nova,Periodic,Stochastic
ZTF17aadnjwe,EA,EA,Periodic,Periodic
ZTF17aadnucr,EA,EA,Periodic,Stochastic
ZTF17aadnuts,LPV,CV/Nova,Periodic,Stochastic
ZTF17aadnwhz,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF17aadnwkj,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF17aadocrj,EA,CV/Nova,Periodic,Stochastic
ZTF17aadrqyq,YSO,YSO,Periodic,Stochastic
ZTF17aadryyb,RSCVn,YSO,Periodic,Periodic
ZTF17aadsjkj,EA,EA,Periodic,Periodic
ZTF18aaaakqo,EB/EW,CV/Nova,Periodic,Periodic
ZTF18aaaamqw,LPV,CV/Nova,Periodic,Periodic
ZTF18aaaaszz,LPV,CV/Nova,Periodic,Stochastic
ZTF18aaaateq,EA,CV/Nova,Periodic,Periodic
ZTF18aaaatuw,RRLab,RRLab,Periodic,Periodic
ZTF18aaabajh,LPV,LPV,Periodic,Periodic
ZTF18aaabnsc,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aaachrs,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaadkhh,RRLab,RRLab,Periodic,Periodic
ZTF18aaadlrh,RSCVn,YSO,Periodic,Stochastic
ZTF18aaaeyca,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaahlrk,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaajvxh,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaajwpy,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaaljcd,YSO,YSO,Stochastic,Stochastic
ZTF18aaalocs,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaandfr,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaapchz,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaaqhvd,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aaaqyqn,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18aaarpny,RRLab,RRLab,Periodic,Periodic
ZTF18aabehkv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aabehvv,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aabeidi,AGN,CV/Nova,Stochastic,Transient
ZTF18aabfash,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aabfufo,EA,CV/Nova,Periodic,Periodic
ZTF18aabfvvs,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabfyqd,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aabgauy,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabgggt,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabghsu,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aabgmys,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aabgoqj,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aabgwsc,RRLab,RRLab,Periodic,Periodic
ZTF18aabgyqz,YSO,CV/Nova,Stochastic,Periodic
ZTF18aabgzyp,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabhkra,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aabipxo,LPV,YSO,Periodic,Periodic
ZTF18aabiqbt,Periodic-Other,EB/EW,Periodic,Periodic
ZTF18aabivco,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aabivkb,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aabjzgo,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aabjzok,EB/EW,EB/EW,Periodic,Periodic
ZTF18aablraz,Periodic-Other,CV/Nova,Stochastic,Stochastic
ZTF18aabltja,EA,EA,Periodic,Periodic
ZTF18aabpkwp,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabpvct,EA,CV/Nova,Periodic,Periodic
ZTF18aabpwwp,EB/EW,EB/EW,Periodic,Periodic
ZTF18aabqxib,EA,EA,Periodic,Periodic
ZTF18aabrxyr,LPV,CV/Nova,Periodic,Stochastic
ZTF18aabslbt,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aabtmyw,EA,CV/Nova,Periodic,Stochastic
ZTF18aacaidc,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aacdklx,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aacejam,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aacereg,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aacfrkx,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aacqsok,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aacujgc,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aacwsku,EA,CV/Nova,Periodic,Periodic
ZTF18aacyxbx,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aadekuv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aadpwic,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aadqkgo,EA,CV/Nova,Periodic,Periodic
ZTF18aadrxmz,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aadsqih,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aaduafy,EB/EW,EB/EW,Periodic,Periodic
ZTF18aadunmw,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aaeabgi,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aaeaphs,RSCVn,CV/Nova,Periodic,Periodic
ZTF18aaedaip,RSCVn,YSO,Periodic,Periodic
ZTF18aaedujy,RSCVn,YSO,Periodic,Periodic
ZTF18aaegpns,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaegrnn,Blazar,CV/Nova,Stochastic,Stochastic
ZTF18aaehuif,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaeiuyk,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aaejrya,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaengsn,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aaewfsr,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aafefsb,DSCT,CV/Nova,Periodic,Periodic
ZTF18aafhhmw,RSCVn,YSO,Periodic,Stochastic
ZTF18aafrify,RSCVn,CV/Nova,Periodic,Periodic
ZTF18aafxcff,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aafxdtc,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aafxfzd,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aagctrf,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aagfzsy,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aaggsch,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aagluqm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaglvqr,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aagrkum,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aagrljw,RRLc,RRLc,Periodic,Periodic
ZTF18aagsilj,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aagwngp,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aahhqmm,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aahihvt,EB/EW,EB/EW,Periodic,Periodic
ZTF18aahkomv,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaialhm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaibqtj,YSO,YSO,Periodic,Stochastic
ZTF18aaiclvh,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aaicnzp,Periodic-Other,EB/EW,Periodic,Periodic
ZTF18aaiilfq,RRLc,RRLc,Periodic,Periodic
ZTF18aaimjyg,RSCVn,YSO,Periodic,Stochastic
ZTF18aaimxnf,RRLab,RRLab,Periodic,Periodic
ZTF18aaisdeb,EB/EW,RRLc,Periodic,Periodic
ZTF18aaismxv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaismyh,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aaitcdx,AGN,SNIIn,Stochastic,Stochastic
ZTF18aajhhbo,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aajkbkk,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aajqxpy,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aajruqb,EA,YSO,Periodic,Periodic
ZTF18aajrydw,RRLab,RRLab,Periodic,Periodic
ZTF18aajryxy,EA,CV/Nova,Periodic,Stochastic
ZTF18aajsvlk,YSO,YSO,Stochastic,Stochastic
ZTF18aakfmug,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aakfnme,Periodic-Other,YSO,Periodic,Periodic
ZTF18aakmccd,YSO,YSO,Periodic,Stochastic
ZTF18aaktijb,QSO,TDE,Stochastic,Stochastic
ZTF18aakxbwn,AGN,CV/Nova,Stochastic,Transient
ZTF18aakyshb,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18aakyzcc,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18aalsyjo,YSO,YSO,Stochastic,Stochastic
ZTF18aamepku,RSCVn,YSO,Periodic,Stochastic
ZTF18aamkdmx,EB/EW,EB/EW,Periodic,Periodic
ZTF18aammfaf,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aammfik,RRLab,RRLab,Periodic,Periodic
ZTF18aammfjc,RRLc,CV/Nova,Periodic,Periodic
ZTF18aamqshc,RSCVn,CV/Nova,Periodic,Transient
ZTF18aamrfyx,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aamrtba,AGN,CV/Nova,Stochastic,Transient
ZTF18aamselm,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aamuzsn,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aamwvby,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aamxgbf,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aamygpu,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aandnyx,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaneahy,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aanhjsy,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aanipcs,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aanitfn,RSCVn,CV/Nova,Periodic,Periodic
ZTF18aanjxcd,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aanlpaw,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aanlqeo,EA,CV/Nova,Periodic,Periodic
ZTF18aanlrni,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aannony,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aanohvz,YSO,CV/Nova,Stochastic,Stochastic
ZTF18aanumuu,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aanxmsx,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18aanxzxh,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18aanzgxp,RRLab,CV/Nova,Periodic,Periodic
ZTF18aaoebtz,RSCVn,YSO,Periodic,Periodic
ZTF18aaohkcd,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18aaohryp,YSO,YSO,Periodic,Stochastic
ZTF18aaopezv,EA,CV/Nova,Periodic,Stochastic
ZTF18aaoqueg,CV/Nova,CV/Nova,Periodic,Periodic
ZTF18aaoscty,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aaowhwy,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaoztic,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaperpb,Periodic-Other,EB/EW,Periodic,Periodic
ZTF18aapesad,EB/EW,EB/EW,Periodic,Periodic
ZTF18aapmbot,RRLc,RRLc,Periodic,Periodic
ZTF18aaptvya,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aapuagp,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aapwqie,YSO,YSO,Periodic,Stochastic
ZTF18aapznhh,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaqamfz,RRLab,RRLab,Periodic,Periodic
ZTF18aaqbjpd,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaqcdbp,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaqjhtb,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aaqjiyd,TDE,TDE,Transient,Transient
ZTF18aaqrxpu,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaqsrjf,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaqufyv,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaqvdvi,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aaradlh,RSCVn,YSO,Periodic,Periodic
ZTF18aarfavy,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aarffdx,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aarfsmd,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aarhcyl,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aarinkj,Periodic-Other,Periodic-Other,Periodic,Periodic
ZTF18aarmkmf,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aarpuyd,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aarrfty,RSCVn,YSO,Periodic,Stochastic
ZTF18aartxea,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aarxftd,EA,CV/Nova,Periodic,Periodic
ZTF18aasnflc,LPV,LPV,Periodic,Stochastic
ZTF18aasniad,LPV,YSO,Periodic,Stochastic
ZTF18aasnibr,LPV,CV/Nova,Periodic,Stochastic
ZTF18aasnqqj,RRLc,RRLc,Periodic,Periodic
ZTF18aasrrxf,CV/Nova,CV/Nova,Periodic,Transient
ZTF18aasrues,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aasrydv,RSCVn,CEP,Periodic,Periodic
ZTF18aattepd,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aatwbxh,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aauellb,RSCVn,YSO,Periodic,Stochastic
ZTF18aauemdo,LPV,YSO,Periodic,Stochastic
ZTF18aaueriy,LPV,YSO,Periodic,Stochastic
ZTF18aauexgl,LPV,YSO,Periodic,Stochastic
ZTF18aauexhj,LPV,YSO,Periodic,Stochastic
ZTF18aaugvce,RSCVn,Microlensing,Periodic,Stochastic
ZTF18aaugvmo,LPV,YSO,Periodic,Stochastic
ZTF18aaugzlj,LPV,YSO,Periodic,Stochastic
ZTF18aauqnts,LPV,CV/Nova,Periodic,Stochastic
ZTF18aauqoae,RSCVn,YSO,Periodic,Periodic
ZTF18aauwiqc,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aavaesb,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aavefdj,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavegfp,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavexvb,LPV,YSO,Periodic,Stochastic
ZTF18aavfare,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aavghle,LPV,YSO,Periodic,Periodic
ZTF18aaviqml,RRLc,RRLc,Periodic,Periodic
ZTF18aavlgnn,LPV,YSO,Periodic,Periodic
ZTF18aavpacf,EA,YSO,Periodic,Periodic
ZTF18aavtthp,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aavuhqx,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aavyntu,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavyrmn,EB/EW,EB/EW,Periodic,Periodic
ZTF18aavytht,EB/EW,EB/EW,Periodic,Periodic
ZTF18aavzkwg,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavzlgd,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavzljq,LPV,CV/Nova,Periodic,Stochastic
ZTF18aavzpyo,RSCVn,YSO,Periodic,Stochastic
ZTF18aavztfd,Periodic-Other,CV/Nova,Periodic,Transient
ZTF18aawadby,LPV,LPV,Periodic,Stochastic
ZTF18aawbopb,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aawbrop,RSCVn,CV/Nova,Periodic,Periodic
ZTF18aawhraw,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aawicgr,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aawkncc,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aawknfn,EB/EW,EB/EW,Periodic,Periodic
ZTF18aawleot,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aawlzxn,EB/EW,EB/EW,Periodic,Periodic
ZTF18aawmfvt,LPV,YSO,Periodic,Stochastic
ZTF18aawpfpq,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aawsuye,LPV,YSO,Periodic,Stochastic
ZTF18aawuhes,RSCVn,YSO,Periodic,Stochastic
ZTF18aawveho,Periodic-Other,EA,Periodic,Periodic
ZTF18aawvili,CV/Nova,CV/Nova,Stochastic,Stochastic
ZTF18aawvueo,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aawxwwi,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aawzuhg,LPV,YSO,Periodic,Stochastic
ZTF18aaxalof,LPV,YSO,Periodic,Stochastic
ZTF18aaxatuf,LPV,YSO,Periodic,Stochastic
ZTF18aaxbjrg,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aaxbrhj,Periodic-Other,YSO,Periodic,Stochastic
ZTF18aaxczba,LPV,YSO,Periodic,Periodic
ZTF18aaxczyi,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaxdapv,EB/EW,RRLc,Periodic,Periodic
ZTF18aaxddak,LPV,YSO,Periodic,Stochastic
ZTF18aaxdjxx,LPV,LPV,Periodic,Periodic
ZTF18aaxdpjo,LPV,YSO,Periodic,Stochastic
ZTF18aaxhaqt,CEP,CV/Nova,Periodic,Stochastic
ZTF18aaxhehq,Periodic-Other,EA,Periodic,Periodic
ZTF18aaxhlxa,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaxhvqq,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aaxikxb,YSO,YSO,Stochastic,Stochastic
ZTF18aaxjduq,LPV,CEP,Periodic,Periodic
ZTF18aaxjfqy,LPV,YSO,Periodic,Stochastic
ZTF18aaxjkej,EB/EW,EB/EW,Periodic,Periodic
ZTF18aaxjkjh,LPV,YSO,Periodic,Stochastic
ZTF18aaxljrh,EA,EB/EW,Periodic,Periodic
ZTF18aaxlpep,LPV,YSO,Periodic,Stochastic
ZTF18aaxlpfv,LPV,YSO,Periodic,Stochastic
ZTF18aaxoryo,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaxplgg,LPV,YSO,Periodic,Stochastic
ZTF18aaxpmrt,YSO,YSO,Periodic,Periodic
ZTF18aaxrlkn,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaxrvyx,QSO,CV/Nova,Stochastic,Stochastic
ZTF18aaxswys,Periodic-Other,CV/Nova,Periodic,Stochastic
ZTF18aaxujxg,LPV,YSO,Periodic,Stochastic
ZTF18aaxumpo,LPV,LPV,Periodic,Stochastic
ZTF18aaxvacd,RSCVn,YSO,Periodic,Periodic
ZTF18aaxvbth,EA,YSO,Periodic,Stochastic
ZTF18aaxvbxu,LPV,YSO,Periodic,Stochastic
ZTF18aaxyryv,CEP,RRLab,Periodic,Periodic
ZTF18aaxyskq,LPV,YSO,Periodic,Stochastic
ZTF18aaxywxx,LPV,YSO,Periodic,Periodic
ZTF18aaxyyqq,LPV,LPV,Periodic,Stochastic
ZTF18aaydsfh,LPV,YSO,Periodic,Stochastic
ZTF18aayehlc,EB/EW,EB/EW,Periodic,Periodic
ZTF18aayeigi,LPV,YSO,Periodic,Periodic
ZTF18aayeipa,LPV,CV/Nova,Periodic,Stochastic
ZTF18aayejkt,LPV,LPV,Periodic,Periodic
ZTF18aayesbb,Periodic-Other,CV/Nova,Periodic,Periodic
ZTF18aayesuf,RSCVn,CV/Nova,Periodic,Stochastic
ZTF18aayfael,YSO,YSO,Stochastic,Periodic
ZTF18aayfalw,EB/EW,EB/EW,Periodic,Periodic
ZTF18aayhexr,LPV,YSO,Periodic,Stochastic
ZTF18aayhhcu,CEP,CEP,Periodic,Periodic
ZTF18aayhjcf,LPV,YSO,Periodic,Stochastic
ZTF18aayhtpl,EA,EA,Periodic,Periodic
ZTF18aayhtxa,LPV,YSO,Periodic,Stochastic
ZTF18aaynofo,RSCVn,YSO,Periodic,Stochastic
ZTF18aaynxby,LPV,YSO,Periodic,Stochastic
ZTF18aayoeyq,LPV,YSO,Periodic,Stochastic
ZTF18aayotne,YSO,YSO,Stochastic,Stochastic
ZTF18aayoymb,LPV,YSO,Periodic,Periodic
ZTF18aayparv,LPV,YSO,Periodic,Stochastic
ZTF18aaypdtk,LPV,YSO,Periodic,Stochastic
ZTF18aayvaby,CV/Nova,CV/Nova,Periodic,Stochastic
ZTF18aaywfta,YSO,YSO,Periodic,Stochastic
ZTF18aaywgli,LPV,YSO,Periodic,Stochastic
