feature,feature_id,band,band_label,pct_missing_2-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50-99,pct_missing_100+
n_forced_phot_band_after,109,2,r,49.76,27.88,20.7,20.57,14.74,7.45
n_forced_phot_band_before,103,1,g,51.87,28.65,19.29,14.43,9.32,4.69
n_forced_phot_band_before,103,2,r,49.76,27.88,20.7,20.57,14.74,7.45
positive_fraction,102,1,g,39.2,21.61,16.47,11.5,7.72,4.06
positive_fraction,102,2,r,41.85,31.6,22.9,17.33,9.01,3.66
ps_g-r,17,0,-,9.66,2.25,3.19,4.75,5.12,1.65
ps_i-z,19,0,-,4.33,1.41,1.86,3.28,3.44,0.95
ps_r-i,18,0,-,5.18,1.62,2.37,3.85,3.97,1.46
r-W1,8,0,-,56.69,38.55,33.78,32.45,25.67,18.72
r-W2,10,0,-,56.69,38.55,33.78,32.45,25.67,18.72
r-W3,12,0,-,56.69,38.55,33.78,32.45,25.67,18.72
r-W4,14,0,-,56.69,38.55,33.78,32.45,25.67,18.72
sgscore1,15,0,-,0.25,0.0,0.03,0.04,0.0,0.0
sigma_distnr,120,12,gr,32.05,6.17,2.68,0.82,0.31,0.0
ulens_chi,115,1,g,68.61,37.26,22.0,11.37,6.72,2.48
ulens_chi,115,2,r,68.84,38.34,23.04,16.51,9.47,4.06
ulens_fs,114,1,g,66.09,33.66,19.4,10.11,6.34,2.44
ulens_fs,114,2,r,65.86,34.34,20.16,15.6,9.17,3.98
ulens_mag0,117,1,g,66.09,33.66,19.4,10.11,6.34,2.44
ulens_mag0,117,2,r,65.86,34.34,20.16,15.6,9.17,3.98
ulens_mjd_ref,118,0,-,60.76,24.91,10.66,3.93,2.29,0.35
ulens_t0,116,1,g,66.09,33.66,19.4,10.11,6.34,2.44
ulens_t0,116,2,r,65.86,34.34,20.16,15.6,9.17,3.98
ulens_tE,113,1,g,66.09,33.66,19.4,10.11,6.34,2.44
ulens_tE,113,2,r,65.86,34.34,20.16,15.6,9.17,3.98
ulens_u0,112,1,g,66.09,33.66,19.4,10.11,6.34,2.44
ulens_u0,112,2,r,65.86,34.34,20.16,15.6,9.17,3.98
