feature,feature_id,band,band_label,pct_missing_0,pct_missing_1-4,pct_missing_5-9,pct_missing_10-19,pct_missing_20-49,pct_missing_50+
MHPS_ratio_365_30,25,2,r,100.0,99.8,91.54,67.57,34.03,3.49
MaxSlope,64,1,g,100.0,100.0,84.71,37.3,13.05,1.84
MaxSlope,64,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Mean,65,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Mean,65,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Meanvariance,66,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Meanvariance,66,2,r,100.0,100.0,89.46,43.06,12.22,1.75
MedianAbsDev,67,1,g,100.0,100.0,84.71,37.3,13.05,1.84
MedianAbsDev,67,2,r,100.0,100.0,89.46,43.06,12.22,1.75
MedianBRP,68,1,g,100.0,100.0,84.71,37.3,13.05,1.84
MedianBRP,68,2,r,100.0,100.0,89.46,43.06,12.22,1.75
PairSlopeTrend,69,1,g,100.0,100.0,84.71,37.3,13.05,1.84
PairSlopeTrend,69,2,r,100.0,100.0,89.46,43.06,12.22,1.75
PercentAmplitude,70,1,g,100.0,100.0,84.71,37.3,13.05,1.84
PercentAmplitude,70,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Period_band,32,1,g,93.47,88.24,59.51,33.22,12.04,1.89
Period_band,32,2,r,95.38,89.33,66.1,40.28,13.44,1.79
Psi_CS,40,1,g,100.0,97.62,69.76,37.65,13.64,2.05
Psi_CS,40,2,r,100.0,98.68,79.5,44.98,11.85,1.67
Psi_eta,41,1,g,100.0,97.62,69.76,37.65,13.64,2.05
Psi_eta,41,2,r,100.0,98.68,79.5,44.98,11.85,1.67
Pvar,77,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Pvar,77,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Q31,71,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Q31,71,2,r,100.0,100.0,89.46,43.06,12.22,1.75
Rcs,72,1,g,100.0,100.0,84.71,37.3,13.05,1.84
Rcs,72,2,r,100.0,100.0,89.46,43.06,12.22,1.75
SF_ML_amplitude,79,1,g,100.0,100.0,84.71,37.3,13.05,1.84
SF_ML_amplitude,79,2,r,100.0,100.0,89.46,43.06,12.22,1.75
