oid,oid_kept
169342392014471554,169342391323459829
169342391374839862,169342391263690801
169342390827483268,169342391252156578
169342391071801790,169342391227515043
169342391063413252,169342391212311388
169342391461871715,169342391207591945
169342391258448349,169342391105880122
169342391484941135,169342391078093423
169342390942302693,169342391078093423
169342391636459972,169342391077569179
169342390940205098,169342391075995696
169342391227515043,169342391071801790
169342391326081119,169342391057645707
169342390828531785,169342390965370927
169342391233807349,169342390942302693
169342391078093423,169342390942302693
169342391075995696,169342390940205098
169342391330275367,169342390926050043
169342391614963827,169342390925000865
169342391204971145,169342390921330896
169342390965370927,169342390828531785
169342391252156578,169342390827483268
169342391059742807,169342390790258853
169342391882350802,169342390790258764
169342390919233594,169342390671769650
169342397140959467,169364386565587098
169342391880777745,169364382919163951
169342391754424392,169364382002708518
169364386565587098,169342397140959467
169364382002708518,169342391754424392
169342390718956068,169593097308603180
169566725985009742,169566726119227477
169566726119227477,169566725985009742
169522733329678379,169566723528720391
169562326415441955,169566723388211204
169562326415441955,169562326550708263
169562326550708263,169562326415441955
169364382424760441,169562325727576067
169522747198144554,169522747678392768
169522747678392768,169522747198144554
169566723528720391,169522733329678379
169368789886435447,169368790336798813
169368790336798813,169368789886435447
169368789760082025,169368789837152263
169368789837152263,169368789760082025
169368789130936369,169368789345370276
169368789345370276,169368789130936369
169368786612256913,169368787180060785
169368786589188452,169368787155419243
169368787180060785,169368786612256913
169368787155419243,169368786589188452
169368783977185379,169368784431743214
169368784108257339,169368784297525279
169368784297525279,169368784108257339
169368784431743214,169368783977185379
169368783239512226,169368783856599207
169368783856599207,169368783239512226
169342391193961085,169368781094649859
169368775210565698,169368775495254118
169368775170719863,169368775386726461
169368775495254118,169368775210565698
169368775386726461,169368775170719863
169364393025339517,169364393581084751
169364393165848664,169364393568501839
169364393144877185,169364393547530360
169364393135439900,169364393536520243
169364393126002771,169364393529180261
169364393115516933,169364393516597371
169364393025339517,169364393176858755
169364393568501839,169364393165848664
169364393547530360,169364393144877185
169364393536520243,169364393135439900
169364393529180261,169364393126002771
169364393516597371,169364393115516933
169364393176858755,169364393025339517
169342395375157253,169364391226507471
169364385944305671,169364385997783075
169364385997783075,169364385944305671
169364382297358382,169364382698438713
169562325727576067,169364382424760441
169364382698438713,169364382297358382
169342391908565062,169364381026484373
169342393906626561,169355604534493248
169355602539053225,169355603366379947
169355602539053225,169355603074351128
169298436938530841,169355602795954295
169355603074351128,169355602539053225
169342395146567921,169342395491549416
169364391226507471,169342395375157253
169342395491549416,169342395146567921
169355604534493248,169342393906626561
169302854820954212,169342392411881946
169342391394238482,169342391947362349
169364381026484373,169342391908565062
169342390847406371,169342391521116971
169342391947362349,169342391394238482
169342390938632206,169342391341285401
169368781094649859,169342391193961085
169342390938632206,169342391093297169
169342390718956068,169342390961177993
169342391521116971,169342390847406371
169342390961177993,169342390718956068
169342392411881946,169302854820954212
169566725686166691,169566725820384322
169566725820384322,169566725686166691
169368789191229614,169368789452849187
169368789452849187,169368789191229614
169355603377389743,169355603645300913
169355603489587491,169355603645300913
169355603085361468,169355603489587491
169355603645300913,169355603489587491
169355603085361468,169355603377389743
169355602973687974,169355603237929111
169355603377389743,169355603085361468
169355603237929111,169355602973687974
169342391331849344,169355602547442311
169342391614963827,169342392150786175
169342390966420562,169342392065852867
169342391751802991,169342392020238462
169364382919163951,169342391880777745
169342390923427960,169342391880253625
169342392020238462,169342391751802991
169342391081763083,169342391641702452
169342392150786175,169342391614963827
169342391233807349,169342391484941135
169342391228563554,169342391479697508
169342390801793140,169342391342858326
169355602547442311,169342391331849344
169342391206019156,169342391325556807
169342391484941135,169342391233807349
169342391479697508,169342391228563554
169342391748132989,169342391228563549
169342391882874983,169342391228563549
169342390801793140,169342391228563541
169342390674915340,169342391227515000
169342391058694242,169342391206543474
169342390919233594,169342391206019210
169342391325556807,169342391206019156
169342391641702452,169342391081763083
169342391479697508,169342391075995657
169342390923952576,169342391059742807
169342391206543474,169342391058694242
169342392065852867,169342390966420562
169342391346004160,169342390943350919
169342391059742807,169342390923952576
169342391206019210,169342390919233594
169342391228563541,169342390801793140
169342391326081133,169342390786588782
169342391227515000,169342390674915340
169342390700605537,169342391905943728
169342391610245251,169342390936011001
169342390936011001,169342391610245251
169342391395287115,169342391263690893
