tid,mjd,fid,diffmaglim
"ztf",59300.39188659983,1,18.9536
"ztf",59302.38869210007,1,19.3395
"ztf",59302.41359949997,2,19.369
"ztf",59307.36057869997,2,20.5167
"ztf",59309.3694329001,1,20.5469
"ztf",59311.37443289999,1,20.7826
"ztf",59311.46361109987,2,20.7003
"ztf",59313.43718749983,2,20.0377
"ztf",59315.37304400001,2,19.9556
"ztf",59317.3995254999,2,20.8173
"ztf",59317.47862270009,1,20.728
"ztf",59320.47894679988,2,20.3404
"ztf",59324.29046300007,2,20.1895
"ztf",59328.27766200015,2,19.7851
"ztf",59328.33076390019,1,19.5914
"ztf",59334.356898100115,2,20.1841
"ztf",59336.33741899999,2,20.603
"ztf",59339.31861109985,2,20.7552
"ztf",59341.282604199834,2,20.7144
"ztf",59341.31770829996,1,20.9555
"ztf",59343.32990740007,2,20.6641
"ztf",59354.28696760023,2,20.1008
"ztf",59361.29659719998,1,19.5216
"ztf",59365.32902779989,1,20.3755
"ztf",59365.34006940015,2,20.3536
"ztf",59367.311400500126,1,20.3841
"ztf",59367.36035879981,2,20.5379
"ztf",59369.31902780011,2,20.809
"ztf",59372.31136569986,2,20.5521
"ztf",59374.19115740014,2,20.2801
"ztf",59376.27373840008,2,20.696
"ztf",59380.2916203998,1,19.035
"ztf",59382.321620400064,2,20.2067
"ztf",59384.19296299992,2,19.7338
"ztf",59386.22737269988,2,19.5965
"ztf",59386.321307899896,1,19.3418
"ztf",59390.22831019992,1,19.6449
"ztf",59390.295231500175,2,19.8577
"ztf",59392.31804399984,2,19.8532
"ztf",59394.21324069984,1,20.668
"ztf",59394.275358799845,2,20.2945
"ztf",59396.21403940022,2,20.6789
"ztf",59399.23440970015,1,20.5881
"ztf",59401.27646989981,2,20.4642
"ztf",59403.22428240022,2,20.5181
"ztf",59403.23356480012,1,20.4084
"ztf",59405.19574069977,2,20.5221
"ztf",59405.22884259978,1,20.4307
"ztf",59409.217106500175,1,20.46
"ztf",59417.23635420017,2,17.2319
"ztf",59419.2366204001,2,18.482
"ztf",59423.25784720015,2,15.4289
"ztf",59425.22613430023,1,20.2765
"ztf",59429.26736109983,1,20.0336
"ztf",59434.22840279993,1,20.3744
"ztf",59436.19332179986,2,20.2377
"ztf",59441.186701400205,2,19.8726
