classifier_id,class_id,class_name,n,mean_prob,median_prob,share_pct
5,9,Periodic-Other,456120,0.27917867200224505,0.2644200026988983,37.59361933781756
5,3,CV/Nova,189515,0.20687035181763883,0.19952000677585602,15.619913112353096
5,13,RSCVn,136254,0.2532078359579375,0.23742400109767914,11.23011709474479
5,15,SLSN,76132,0.2961522711200469,0.2889600098133087,6.274834314274152
5,5,EA,73022,0.2018672918608985,0.1904039978981018,6.01850668965648
5,20,YSO,64381,0.21868537206791966,0.20253600180149078,5.3063115114181185
5,2,CEP,51772,0.25304719107070833,0.2348479926586151,4.267071955532514
5,7,LPV,44095,0.5295467953422278,0.5359439849853516,3.6343300988798237
5,16,SNII,18311,0.22427430233571408,0.21664799749851227,1.5092010078373614
5,17,SNIIn,17385,0.22868935172803656,0.22239600121974945,1.4328796636585948
5,4,DSCT,16385,0.252040404815262,0.22954800724983215,1.3504592055821727
5,6,EB/EW,15714,0.3138820051926912,0.2448120042681694,1.2951550782128938
5,10,QSO,15036,0.6020491742817613,0.607230007648468,1.2392740076370796
5,11,RRLab,10322,0.3429072523477685,0.2283399999141693,0.8507439682648268
5,8,Microlensing,7324,0.1949496018638756,0.18160400539636612,0.603647434951714
5,18,SNIa,6918,0.2212148974341321,0.2000879943370819,0.5701847289726867
5,12,RRLc,5105,0.3190869257233519,0.23369599878787994,0.4207564384801338
5,0,AGN,3940,0.43414864598721414,0.42699798941612244,0.3247366048211023
5,1,Blazar,2574,0.32639050199169006,0.34061199426651,0.21215025908870996
5,19,TDE,2330,0.20725683088338426,0.1812720000743866,0.19203966731806302
5,14,SESN,656,0.2598036277653059,0.23871399462223053,0.05406782049813277
6,0,Periodic,987997,0.7382426018664093,0.7519999742507935,81.72937567832278
6,2,Transient,139817,0.7466741383527171,0.7680000066757202,11.565982608465468
6,1,Stochastic,81050,0.6212665018124907,0.527999997138977,6.704641713211743
7,5,TDE,657340,0.3251045153691114,0.30799999833106995,53.76548127524321
7,3,SNIIn,202227,0.25271655156408,0.24400000274181366,16.54065168991482
7,1,SLSN,161043,0.30796923822736993,0.2800000011920929,13.172109412190027
7,2,SNII,101277,0.23697854434613932,0.2280000001192093,8.283698918539578
7,4,SNIa,78629,0.23499052547861501,0.23000000417232513,6.431262401787657
7,0,SESN,22090,0.2281266640252849,0.22200000286102295,1.8067963023247064
8,2,CV/Nova,899260,0.5540766049958332,0.5559999942779541,74.32275511410079
8,5,YSO,265572,0.4755392508464881,0.45399999618530273,21.94920570375862
8,3,Microlensing,21871,0.40271318185507127,0.38600000739097595,1.8076117886934795
8,4,QSO,15050,0.6330564781538276,0.6399999856948853,1.2438643601041044
8,0,AGN,4734,0.4871934935053945,0.46799999475479126,0.3912593940686266
8,1,Blazar,3452,0.36310428724573496,0.35199999809265137,0.28530363927437663
9,5,Periodic-Other,611431,0.32350528203993484,0.30799999833106995,50.18908192455603
9,8,RSCVn,198222,0.32231868330753743,0.30399999022483826,16.270977750963468
9,2,EA,158131,0.255727643933403,0.24400000274181366,12.980123209016174
9,0,CEP,87198,0.30197834838332543,0.27799999713897705,7.157614785081941
9,4,LPV,54512,0.6231474536617314,0.6380000114440918,4.474596861904938
9,1,DSCT,35480,0.26651736228330963,0.2460000067949295,2.9123623543511004
9,7,RRLc,34753,0.236469082147774,0.2160000056028366,2.852686834858055
9,6,RRLab,20810,0.3052123020183347,0.2280000001192093,1.7081809637555356
9,3,EB/EW,17718,0.3434133651400476,0.28200000524520874,1.4543753155127621
