feature_id,feature_name,band,version,n,n_null,n_objects,present_pct,nan_pct
20,MHPS_ratio,1,1,53322,0,603540,8.834874241972363,91.16512575802764
22,MHPS_high,1,1,53322,0,603540,8.834874241972363,91.16512575802764
21,MHPS_low,1,1,53322,0,603540,8.834874241972363,91.16512575802764
23,MHPS_non_zero,1,1,53322,0,603540,8.834874241972363,91.16512575802764
24,MHPS_PN_flag,1,1,53322,0,603540,8.834874241972363,91.16512575802764
27,MHPS_high_30,1,1,53330,0,603540,8.83619975478013,91.16380024521987
26,MHPS_low_365,1,1,53330,0,603540,8.83619975478013,91.16380024521987
25,MHPS_ratio_365_30,1,1,53330,0,603540,8.83619975478013,91.16380024521987
20,MHPS_ratio,2,1,56762,0,603540,9.40484474931239,90.59515525068761
22,MHPS_high,2,1,56762,0,603540,9.40484474931239,90.59515525068761
23,MHPS_non_zero,2,1,56762,0,603540,9.40484474931239,90.59515525068761
24,MHPS_PN_flag,2,1,56762,0,603540,9.40484474931239,90.59515525068761
21,MHPS_low,2,1,56762,0,603540,9.40484474931239,90.59515525068761
25,MHPS_ratio_365_30,2,1,56769,0,603540,9.406004573019187,90.59399542698081
26,MHPS_low_365,2,1,56769,0,603540,9.406004573019187,90.59399542698081
27,MHPS_high_30,2,1,56769,0,603540,9.406004573019187,90.59399542698081
105,dbrightness_forced_phot_band,2,1,59245,0,603540,9.816250787023229,90.18374921297678
104,dbrightness_first_det_band,2,1,59245,0,603540,9.816250787023229,90.18374921297678
104,dbrightness_first_det_band,1,1,60643,0,603540,10.047884150180602,89.95211584981939
105,dbrightness_forced_phot_band,1,1,60643,0,603540,10.047884150180602,89.95211584981939
72,Rcs,1,1,68444,0,603540,11.340424826854889,88.65957517314511
73,Skew,1,1,68444,0,603540,11.340424826854889,88.65957517314511
74,SmallKurtosis,1,1,68444,0,603540,11.340424826854889,88.65957517314511
75,Std,1,1,68444,0,603540,11.340424826854889,88.65957517314511
77,Pvar,1,1,68444,0,603540,11.340424826854889,88.65957517314511
78,ExcessVar,1,1,68444,0,603540,11.340424826854889,88.65957517314511
71,Q31,1,1,68444,0,603540,11.340424826854889,88.65957517314511
70,PercentAmplitude,1,1,68444,0,603540,11.340424826854889,88.65957517314511
69,PairSlopeTrend,1,1,68444,0,603540,11.340424826854889,88.65957517314511
68,MedianBRP,1,1,68444,0,603540,11.340424826854889,88.65957517314511
67,MedianAbsDev,1,1,68444,0,603540,11.340424826854889,88.65957517314511
66,Meanvariance,1,1,68444,0,603540,11.340424826854889,88.65957517314511
65,Mean,1,1,68444,0,603540,11.340424826854889,88.65957517314511
64,MaxSlope,1,1,68444,0,603540,11.340424826854889,88.65957517314511
63,Gskew,1,1,68444,0,603540,11.340424826854889,88.65957517314511
62,Eta_e,1,1,68444,0,603540,11.340424826854889,88.65957517314511
61,Con,1,1,68444,0,603540,11.340424826854889,88.65957517314511
60,Beyond1Std,1,1,68444,0,603540,11.340424826854889,88.65957517314511
59,Autocor_length,1,1,68444,0,603540,11.340424826854889,88.65957517314511
58,AndersonDarling,1,1,68444,0,603540,11.340424826854889,88.65957517314511
76,StetsonK,1,1,68444,0,603540,11.340424826854889,88.65957517314511
57,Amplitude,1,1,68444,0,603540,11.340424826854889,88.65957517314511
80,SF_ML_gamma,1,1,68444,0,603540,11.340424826854889,88.65957517314511
79,SF_ML_amplitude,1,1,68444,0,603540,11.340424826854889,88.65957517314511
82,LinearTrend,1,1,68444,0,603540,11.340424826854889,88.65957517314511
81,IAR_phi,1,1,68444,0,603540,11.340424826854889,88.65957517314511
64,MaxSlope,2,1,68762,0,603540,11.393113960963648,88.60688603903635
57,Amplitude,2,1,68762,0,603540,11.393113960963648,88.60688603903635
80,SF_ML_gamma,2,1,68762,0,603540,11.393113960963648,88.60688603903635
66,Meanvariance,2,1,68762,0,603540,11.393113960963648,88.60688603903635
81,IAR_phi,2,1,68762,0,603540,11.393113960963648,88.60688603903635
65,Mean,2,1,68762,0,603540,11.393113960963648,88.60688603903635
77,Pvar,2,1,68762,0,603540,11.393113960963648,88.60688603903635
69,PairSlopeTrend,2,1,68762,0,603540,11.393113960963648,88.60688603903635
62,Eta_e,2,1,68762,0,603540,11.393113960963648,88.60688603903635
61,Con,2,1,68762,0,603540,11.393113960963648,88.60688603903635
60,Beyond1Std,2,1,68762,0,603540,11.393113960963648,88.60688603903635
59,Autocor_length,2,1,68762,0,603540,11.393113960963648,88.60688603903635
58,AndersonDarling,2,1,68762,0,603540,11.393113960963648,88.60688603903635
82,LinearTrend,2,1,68762,0,603540,11.393113960963648,88.60688603903635
63,Gskew,2,1,68762,0,603540,11.393113960963648,88.60688603903635
68,MedianBRP,2,1,68762,0,603540,11.393113960963648,88.60688603903635
79,SF_ML_amplitude,2,1,68762,0,603540,11.393113960963648,88.60688603903635
70,PercentAmplitude,2,1,68762,0,603540,11.393113960963648,88.60688603903635
76,StetsonK,2,1,68762,0,603540,11.393113960963648,88.60688603903635
78,ExcessVar,2,1,68762,0,603540,11.393113960963648,88.60688603903635
75,Std,2,1,68762,0,603540,11.393113960963648,88.60688603903635
74,SmallKurtosis,2,1,68762,0,603540,11.393113960963648,88.60688603903635
73,Skew,2,1,68762,0,603540,11.393113960963648,88.60688603903635
67,MedianAbsDev,2,1,68762,0,603540,11.393113960963648,88.60688603903635
71,Q31,2,1,68762,0,603540,11.393113960963648,88.60688603903635
72,Rcs,2,1,68762,0,603540,11.393113960963648,88.60688603903635
29,GP_DRW_tau,1,1,78431,0,603540,12.995161878251649,87.00483812174835
28,GP_DRW_sigma,1,1,78431,0,603540,12.995161878251649,87.00483812174835
29,GP_DRW_tau,2,1,78789,0,603540,13.054478576399244,86.94552142360075
28,GP_DRW_sigma,2,1,78789,0,603540,13.054478576399244,86.94552142360075
41,Psi_eta,2,1,79537,0,603540,13.178414023925507,86.82158597607449
40,Psi_CS,2,1,79537,0,603540,13.178414023925507,86.82158597607449
41,Psi_eta,1,1,84479,0,603540,13.997249560923882,86.00275043907612
40,Psi_CS,1,1,84479,0,603540,13.997249560923882,86.00275043907612
108,median_brightness_before_band,1,1,103166,0,603540,17.093481790767804,82.90651820923219
107,max_brightness_before_band,1,1,103166,0,603540,17.093481790767804,82.90651820923219
106,last_brightness_before_band,1,1,103166,0,603540,17.093481790767804,82.90651820923219
92,TDE_decay_chi,1,1,107635,0,603540,17.833946383006925,82.16605361699308
107,max_brightness_before_band,2,1,108137,0,603540,17.917122311694335,82.08287768830567
108,median_brightness_before_band,2,1,108137,0,603540,17.917122311694335,82.08287768830567
106,last_brightness_before_band,2,1,108137,0,603540,17.917122311694335,82.08287768830567
92,TDE_decay_chi,2,1,123032,0,603540,20.38506147065646,79.61493852934353
43,Harmonics_chi,2,1,124010,0,603540,20.547105411406037,79.45289458859396
101,color_variation,12,1,124747,0,603540,20.66921827882162,79.33078172117838
32,Period_band,2,1,127420,0,603540,21.112105245716936,78.88789475428307
33,delta_period,2,1,127420,0,603540,21.112105245716936,78.88789475428307
43,Harmonics_chi,1,1,129903,0,603540,21.523511283427776,78.47648871657222
56,Harmonics_phase_7,2,1,130033,0,603540,21.545050866553996,78.45494913344601
49,Harmonics_mag_4,2,1,130033,0,603540,21.545050866553996,78.45494913344601
44,Harmonics_mag_1,2,1,130033,0,603540,21.545050866553996,78.45494913344601
45,Harmonics_mag_2,2,1,130033,0,603540,21.545050866553996,78.45494913344601
46,Harmonics_phase_2,2,1,130033,0,603540,21.545050866553996,78.45494913344601
47,Harmonics_mag_3,2,1,130033,0,603540,21.545050866553996,78.45494913344601
48,Harmonics_phase_3,2,1,130033,0,603540,21.545050866553996,78.45494913344601
42,Harmonics_mse,2,1,130033,0,603540,21.545050866553996,78.45494913344601
50,Harmonics_phase_4,2,1,130033,0,603540,21.545050866553996,78.45494913344601
53,Harmonics_mag_6,2,1,130033,0,603540,21.545050866553996,78.45494913344601
55,Harmonics_mag_7,2,1,130033,0,603540,21.545050866553996,78.45494913344601
51,Harmonics_mag_5,2,1,130033,0,603540,21.545050866553996,78.45494913344601
54,Harmonics_phase_6,2,1,130033,0,603540,21.545050866553996,78.45494913344601
52,Harmonics_phase_5,2,1,130033,0,603540,21.545050866553996,78.45494913344601
32,Period_band,1,1,133095,0,603540,22.05239089372701,77.94760910627299
33,delta_period,1,1,133095,0,603540,22.05239089372701,77.94760910627299
55,Harmonics_mag_7,1,1,135317,0,603540,22.420552076084434,77.57944792391557
49,Harmonics_mag_4,1,1,135317,0,603540,22.420552076084434,77.57944792391557
42,Harmonics_mse,1,1,135317,0,603540,22.420552076084434,77.57944792391557
56,Harmonics_phase_7,1,1,135317,0,603540,22.420552076084434,77.57944792391557
54,Harmonics_phase_6,1,1,135317,0,603540,22.420552076084434,77.57944792391557
50,Harmonics_phase_4,1,1,135317,0,603540,22.420552076084434,77.57944792391557
44,Harmonics_mag_1,1,1,135317,0,603540,22.420552076084434,77.57944792391557
47,Harmonics_mag_3,1,1,135317,0,603540,22.420552076084434,77.57944792391557
45,Harmonics_mag_2,1,1,135317,0,603540,22.420552076084434,77.57944792391557
51,Harmonics_mag_5,1,1,135317,0,603540,22.420552076084434,77.57944792391557
53,Harmonics_mag_6,1,1,135317,0,603540,22.420552076084434,77.57944792391557
48,Harmonics_phase_3,1,1,135317,0,603540,22.420552076084434,77.57944792391557
46,Harmonics_phase_2,1,1,135317,0,603540,22.420552076084434,77.57944792391557
52,Harmonics_phase_5,1,1,135317,0,603540,22.420552076084434,77.57944792391557
30,Multiband_period,12,1,151257,0,603540,25.06163634556119,74.9383636544388
31,PPE,12,1,151257,0,603540,25.06163634556119,74.9383636544388
