tid,mjd,fid,diffmaglim
"ztf",59063.16707180021,2,19.9082
"ztf",59065.15625,2,19.4981
"ztf",59066.182731499895,1,20.1459
"ztf",59066.22834490007,2,19.9528
"ztf",59069.206180599984,2,20.578
"ztf",59093.142777800094,2,19.7484
"ztf",59188.55159719987,2,19.2748
"ztf",59188.556330999825,2,19.1553
"ztf",59188.56105320016,2,19.0751
"ztf",59188.565787000116,2,18.8932
"ztf",59189.55034720013,2,19.1952
"ztf",59189.55502310023,2,19.382
"ztf",59189.55969909998,2,19.5979
"ztf",59189.564375000075,2,19.3097
"ztf",59189.5690394002,2,18.8652
"ztf",59192.55245369999,2,17.2032
"ztf",59192.557164399885,2,17.3982
"ztf",59192.56656249985,2,18.1713
"ztf",59195.553935199976,2,18.5354
"ztf",59195.55440969998,2,18.7396
"ztf",59195.55870370008,2,19.0688
"ztf",59195.55916670011,2,19.4151
"ztf",59195.563449100126,2,19.2961
"ztf",59195.56391200004,2,19.5437
"ztf",59196.566365700215,2,19.0906
"ztf",59196.571053199936,2,18.6945
"ztf",59204.51743059978,2,19.9289
"ztf",59215.52555559995,2,19.0655
"ztf",59215.55636569997,2,19.1035
"ztf",59217.54717590008,1,19.3823
"ztf",59221.54209489981,2,18.6245
"ztf",59230.52554399986,2,20.312
"ztf",59250.48281250009,1,19.9648
"ztf",59250.527951399796,2,20.3653
"ztf",59251.542407399975,1,20.2287
"ztf",59254.42993059987,2,18.6441
"ztf",59254.43086809991,2,17.9409
"ztf",59256.442013899796,2,20.3024
"ztf",59260.499259300064,1,18.8954
"ztf",59260.50843749987,1,17.7758
"ztf",59264.48524310021,1,20.6876
"ztf",59264.524733799975,2,20.4735
"ztf",59270.42643520003,1,19.3939
"ztf",59270.49825230008,2,19.6532
"ztf",59272.42466440005,1,18.941
"ztf",59272.42512729997,1,18.9943
"ztf",59272.46179400012,2,19.2083
"ztf",59272.48667819984,2,19.5733
"ztf",59291.382013900205,2,20.4863
"ztf",59297.32155090012,1,19.5476
"ztf",59297.3506018999,1,19.3933
"ztf",59297.41989579983,2,19.9714
"ztf",59300.389525500126,1,19.1826
"ztf",59302.41263889987,2,18.7767
"ztf",59302.41359949997,2,19.1679
"ztf",59307.36057869997,2,20.407
"ztf",59307.3835880002,1,20.46
"ztf",59307.41130790021,2,20.3492
"ztf",59311.362916700076,1,20.7568
"ztf",59311.37443289999,1,20.8702
"ztf",59311.46361109987,2,20.722
"ztf",59313.43718749983,2,19.967
"ztf",59313.47672449984,1,20.4467
"ztf",59313.477661999874,1,20.2601
"ztf",59320.47894679988,2,20.3902
"ztf",59320.47942129988,2,20.3087
"ztf",59324.29000000004,2,20.199
"ztf",59324.29046300007,2,20.0538
"ztf",59339.31861109985,2,20.7549
"ztf",59339.3604282001,1,20.7681
"ztf",59339.37355320016,1,20.8064
"ztf",59345.338391200174,2,20.6064
"ztf",59347.31883100001,2,17.8143
"ztf",59349.31885420019,2,20.7003
"ztf",59352.29643520014,2,20.1336
"ztf",59352.30064810021,2,20.3544
"ztf",59352.34957179986,1,20.7409
"ztf",59358.31916669989,2,19.3292
"ztf",59359.30467589991,1,19.263
"ztf",59362.38053240022,1,19.5237
"ztf",59363.354259300046,2,20.1259
"ztf",59366.295879600104,1,20.5868
"ztf",59366.349490699824,2,20.4427
"ztf",59367.36035879981,2,20.4526
"ztf",59368.295648099855,2,20.5945
"ztf",59372.31136569986,2,20.5459
"ztf",59372.31613430008,2,19.1698
"ztf",59372.33976850007,1,17.0113
"ztf",59374.19115740014,2,20.1882
"ztf",59378.25437500002,2,20.5216
"ztf",59380.2916203998,1,19.1376
"ztf",59380.35188659979,2,19.9965
"ztf",59382.30069439998,1,20.3234
"ztf",59382.301631900016,1,20.3605
"ztf",59386.22737269988,2,19.6041
"ztf",59386.321307899896,1,19.4237
"ztf",59390.227361099795,1,19.7212
"ztf",59390.295231500175,2,19.6648
"ztf",59390.31780089997,2,19.8239
"ztf",59394.21324069984,1,20.6262
"ztf",59394.27442129981,2,20.3419
"ztf",59394.275358799845,2,20.3439
"ztf",59396.21403940022,2,20.7488
"ztf",59396.22945600003,2,20.6197
"ztf",59399.21179400012,2,20.5779
"ztf",59399.21322919987,2,20.6292
"ztf",59399.23440970015,1,20.6329
"ztf",59405.194791700225,2,20.5228
"ztf",59405.19574069977,2,20.4628
"ztf",59407.24675930012,1,20.3861
"ztf",59409.2037037001,2,20.3422
"ztf",59409.217106500175,1,20.6146
"ztf",59411.214780100156,2,20.0057
"ztf",59414.25428240001,1,19.5422
"ztf",59417.23635420017,2,16.6172
"ztf",59417.25668979995,2,16.7027
"ztf",59419.23614579998,2,18.3009
"ztf",59419.2366204001,2,18.206
"ztf",59423.2444329001,2,20.1934
"ztf",59423.25784720015,2,15.6994
"ztf",59427.1947337999,2,20.4782
"ztf",59427.234895799775,1,20.4055
"ztf",59427.26913189981,1,20.1206
"ztf",59434.21325229993,1,20.4609
"ztf",59434.22840279993,1,20.4186
"ztf",59436.19190970017,2,20.0198
"ztf",59436.19332179986,2,20.2652
"ztf",59439.1776389,1,19.8818
"ztf",59439.20855320012,2,19.6775
"ztf",59441.17339120014,2,19.727
"ztf",59441.186701400205,2,19.9262
"ztf",59441.212754600216,1,19.6837
"ztf",59441.21416669991,1,19.707
"ztf",59443.18376159994,1,19.2595
"ztf",59443.18471059995,1,19.304
"ztf",59447.19526620023,2,19.3514
"ztf",59447.20528940018,2,19.401
"ztf",59450.215451399796,1,19.0068
"ztf",59452.23928239988,2,18.5356
"ztf",59452.246435199864,2,17.8717
"ztf",59454.17178239999,1,20.3287
"ztf",59454.18405089993,1,20.3187
"ztf",59462.20692129992,2,20.0109
"ztf",59466.152326399926,2,20.3085
"ztf",59468.152048599906,1,20.2028
"ztf",59470.14174770005,2,20.1169
"ztf",59470.142222200055,2,20.1536
"ztf",59600.541203700006,2,19.6351
"ztf",59623.464004599955,2,19.7879
"ztf",59625.48589120014,2,19.5806
"ztf",59625.519536999986,1,19.5573
"ztf",59630.44380789995,1,19.7663
"ztf",59630.49593750015,2,19.7562
"ztf",59637.446689799894,2,19.3232
"ztf",59637.450081000105,2,20.1882
"ztf",59673.37327549979,2,20.3689
"ztf",59677.329502299894,1,20.1412
"ztf",59677.4010648001,2,20.3037
"ztf",59679.37309029978,2,20.2952
"ztf",59679.37357639987,2,20.4019
"ztf",59685.35410880018,2,19.285
"ztf",59697.37767359987,2,19.0149
"ztf",59708.31633100007,2,19.9971
"ztf",59712.2730556,1,19.5046
"ztf",59712.27353010001,1,19.5835
"ztf",59712.351689800154,2,19.8147
"ztf",59712.356527800206,2,19.6808
"ztf",59718.21525460016,2,20.1828
"ztf",59718.29181709979,2,19.9841
"ztf",59719.33872690005,2,20.1459
"ztf",59721.31738429982,2,20.5307
"ztf",59723.3115393999,2,20.4249
"ztf",59725.33334490005,2,20.7088
"ztf",59732.227245400194,2,20.4765
"ztf",59732.30664349999,2,20.5977
"ztf",59734.33005789993,1,20.8229
"ztf",59736.34916670015,2,20.5699
"ztf",59738.27665509982,2,20.2219
"ztf",59740.32040510001,2,20.0619
"ztf",59740.32086810004,2,20.0325
"ztf",59740.36575229978,1,19.8727
"ztf",59742.276435200125,2,19.5629
"ztf",59742.27833329979,2,19.5011
"ztf",59747.31219909992,1,20.083
"ztf",59747.31994209997,1,19.9293
"ztf",59753.27964119986,1,20.7673
"ztf",59753.31793980021,2,20.4432
"ztf",59756.270694400184,1,20.7531
"ztf",59760.235902800225,1,20.7396
"ztf",59760.25687499996,2,20.6516
"ztf",59760.276481499895,2,20.6249
"ztf",59764.2352661998,1,20.5671
"ztf",59766.23497689981,2,20.5719
"ztf",59766.26417820016,2,20.4164
"ztf",59769.23406249983,1,20.0148
"ztf",59773.21521990001,2,19.7353
"ztf",59773.23438660009,2,19.7665
"ztf",59773.31590279983,2,19.3806
"ztf",59773.32891200017,2,19.2123
"ztf",59775.31976850005,2,19.6838
"ztf",59777.213414399885,2,20.5165
"ztf",59779.19148149993,2,20.5014
"ztf",59787.2254745001,1,20.6319
"ztf",59789.22593750013,2,20.5083
"ztf",59794.21891199984,1,20.4186
"ztf",59794.21938659996,1,20.3879
"ztf",59794.25674769981,2,19.993
"ztf",59794.25721060019,2,20.1801
"ztf",59797.246435199864,1,20.0751
"ztf",59799.193518499844,2,19.7875
"ztf",59801.22143519996,1,19.4124
"ztf",59802.22527780011,2,19.6108
"ztf",59805.1745023001,2,19.3728
"ztf",59806.1996065001,2,20.08
"ztf",59807.16594910016,2,20.1938
"ztf",59808.18593750009,2,20.1639
"ztf",59808.24094909988,1,19.8842
"ztf",59809.246678200085,1,20.0344
"ztf",59810.18863430014,2,20.229
"ztf",59810.20652779983,1,20.229
